Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,Status_rounded,ReconstructionError,status_anterior
2022-02-07 00:40:00,16.632220367278798,0.0,11.547746243739564,17.17646076794658,599,0.0,27.8,13.0,29.8,-2.325542570951586,80.70873502503002,13.0,52.967342,13.0
2022-02-07 01:30:00,15.760267111853087,0.0,11.508514190317197,16.565609348914858,599,0.0,27.8,13.0,29.8,-8.671118530884808,80.70873502503002,13.0,52.949566,13.0
2022-02-07 01:40:00,11.929716193656091,0.0,11.503505843071787,12.135058430717862,599,0.0,27.8,13.0,29.8,-2.76627712854758,80.70873502503002,13.0,52.924656,13.0
2022-02-07 00:20:00,15.49415692821369,0.0,11.549916527545909,16.26677796327212,599,0.0,27.8,13.0,29.8,-3.749582637729549,80.70609902399477,13.0,52.84799,13.0
2022-02-07 00:30:00,14.879799666110184,0.0,11.541569282136894,15.376961602671118,599,0.0,27.8,13.0,29.8,-3.94991652754591,80.70873502503002,13.0,52.847244,13.0
2022-02-07 00:50:00,13.644314381270902,0.0,11.55334448160535,13.750836120401338,598,0.0,27.8,13.0,29.8,-0.7608695652173914,80.70873502503002,13.0,52.78558,13.0
2022-02-07 00:10:00,15.089649415692822,0.0,11.584641068447413,15.885976627712855,599,0.0,27.8,13.0,29.8,-7.71118530884808,80.70873502503002,13.0,52.74345,13.0
2022-02-07 01:20:00,12.593979933110369,0.0,11.522073578595318,12.998662207357858,598,0.0,27.8,13.0,29.8,-5.451505016722408,80.70807492276408,13.0,52.715073,13.0
2022-02-07 01:10:00,13.365442404006677,0.0,11.51736227045075,14.018030050083471,599,0.0,27.8,13.0,29.8,-8.42237061769616,80.62570099241938,13.0,52.71403,13.0
2022-02-07 01:50:00,7.47212020033389,0.0,11.503338898163609,7.590651085141904,599,0.0,27.8,13.0,29.8,-0.021702838063439,80.7080760247712,13.0,52.713024,13.0
2022-02-06 23:50:00,15.141736227045074,0.0,11.673622704507512,16.27896494156928,599,0.0,27.8,13.0,29.8,-11.198664440734555,80.70873502503002,13.0,52.61624,13.0
2022-02-07 00:00:00,13.944073455759598,0.0,11.64524207011686,14.490651085141902,599,0.0,27.8,13.0,29.8,-6.639398998330551,80.70873502503002,13.0,52.59234,13.0
2022-02-07 01:00:00,11.803505843071786,0.0,11.528547579298833,11.829716193656092,599,0.0,27.8,13.0,29.8,1.642737896494157,80.66853600924233,13.0,52.59181,13.0
2022-02-07 02:00:00,3.8145242070116874,0.0,11.52186978297162,4.244073455759599,599,0.0,27.8,13.0,29.8,8.819699499165276,80.67512601183049,13.0,52.514366,13.0
2022-02-06 23:40:00,15.39665551839465,0.0,11.680936454849498,15.70836120401338,598,0.0,27.8,13.0,29.8,-0.1605351170568562,80.70873502503002,13.0,52.435978,13.0
2022-02-06 23:30:00,15.948914858096828,7.779632721202003,11.697996661101836,17.078797996661102,599,0.0002504173622704,27.8,13.0,29.8,-8.148580968280468,80.6948960195949,13.0,52.37903,13.0
2022-02-07 02:10:00,1.1923076923076923,0.0,11.58545150501672,2.7265886287625416,598,0.0,27.8,13.0,29.8,28.051839464882946,80.7027941046366,13.0,52.32783,13.0
2022-02-07 02:20:00,1.888294314381271,0.0,11.539464882943143,3.1680602006688963,598,0.0,27.8,13.0,29.8,1.7591973244147157,80.66252786641446,13.0,52.272182,13.0
2022-02-06 23:20:00,15.870116861435728,0.0,11.745742904841402,17.030383973288817,599,0.0,27.8,13.0,29.433388981636057,-6.67779632721202,80.70873502503002,13.0,52.248257,13.0
2022-02-07 02:30:00,1.608347245409015,0.0,11.531719532554256,2.649081803005008,599,0.0,27.8,13.0,29.8,1.1268781302170283,80.46424592900978,13.0,52.134525,13.0
2022-02-06 23:10:00,15.664381270903007,0.0,11.653678929765883,16.528260869565216,598,0.0,27.8,13.0,29.2,-6.439799331103679,80.70873502503002,13.0,52.131424,13.0
2022-02-07 03:00:00,2.041569282136895,0.0,10.675959933222035,3.89482470784641,599,0.0,27.8,13.0,29.8,-23.89148580968281,80.44908892305703,13.0,52.093468,13.0
2022-02-07 03:10:00,2.173578595317726,0.0,10.60267558528428,3.568561872909699,598,0.0,27.8,13.0,29.8,-14.1438127090301,80.32323530172313,13.0,52.090435,13.0
2022-02-07 02:40:00,2.108347245409015,0.0,11.508848080133555,3.185141903171953,599,0.0,27.8,13.0,29.8,4.30550918196995,80.42009291166919,13.0,52.082428,13.0
2022-02-07 02:50:00,3.362437395659432,0.0,11.219031719532554,4.257095158597663,599,0.0,27.8,13.0,29.8,-11.051752921535892,80.55321096394975,13.0,52.08072,13.0
2022-02-07 03:20:00,1.4028380634390651,0.0,10.37729549248748,2.9123539232053424,599,0.0,27.8,13.0,29.8,-22.8347245409015,80.31399387000002,13.0,52.0566,13.0
2022-02-07 03:30:00,1.198831385642738,0.0,9.737729549248748,3.012854757929883,599,0.0,27.8,13.0,29.8,-27.60267111853089,80.31399387000002,13.0,52.02,13.0
2022-02-06 23:00:00,16.76555183946488,18.03846153846154,11.575919732441472,17.848662207357858,598,0.0006521739130434,27.8,13.0,29.2,-6.239130434782608,80.68101072986069,13.0,52.01525,13.0
2022-02-07 03:40:00,0.9552587646076796,0.0,9.7,2.552253756260434,599,0.0,27.8,13.0,29.8,-26.227045075125208,80.31399387000002,13.0,51.92594,13.0
