Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,Status_rounded
2021-12-31 23:00:00,0.5348914858096828,0.0,11.570283806343905,0.03005008347245409,599,0.0,27.8,13.0,0.2373956594323873,24.684474123539232,80.31399387000002,13.0
2021-12-31 23:10:00,0.18130217028380632,0.0,11.523873121869784,0.015025041736227046,599,0.0,27.8,13.0,0.3,19.65108514190317,80.31399387000002,13.0
2021-12-31 23:20:00,0.0,0.0,11.470166666666668,0.0,600,0.0,27.8,13.0,0.3,2.5383333333333336,80.31399387000002,13.0
2021-12-31 23:30:00,0.0,0.0,11.425542570951587,0.0,599,0.0,27.8,13.0,0.3,-4.971619365609349,80.31399387000002,13.0
2021-12-31 23:40:00,0.055,0.0,11.376166666666666,0.011999999999999999,600,0.0,27.8,13.0,0.3,12.258333333333333,80.31399387000002,13.0
2021-12-31 23:50:00,0.0,0.0,11.094490818030051,0.0030050083472454086,599,0.0,27.8,13.0,0.3,-0.4373956594323873,80.31399387000002,13.0
2022-01-01 00:00:00,0.0,0.0,10.712020033388981,0.0,599,0.0,27.8,13.0,0.3,-6.293823038397329,80.31399387000002,13.0
2022-01-01 00:10:00,0.153,0.0,10.6535,0.015,600,0.0,27.8,13.0,0.3,5.905,80.31399387000002,13.0
2022-01-01 00:20:00,1.3452420701168613,0.0,10.619031719532554,0.064440734557596,599,0.0,27.8,13.0,0.3716193656093489,-1.1836393989983305,80.31399387000002,13.0
2022-01-01 00:30:00,1.547078464106845,0.0,10.62153589315526,0.08514190317195326,599,0.0,27.8,13.0,0.4,-13.784641068447412,80.31399387000002,13.0
2022-01-01 00:40:00,1.6495826377295493,0.0,10.621202003338897,0.11519198664440734,599,0.0,27.8,13.0,0.4,-6.191986644407345,80.31399387000002,13.0
2022-01-01 00:50:00,1.0936560934891486,0.0,10.630717863105174,0.5632721202003339,599,0.0,27.8,13.0,0.896661101836394,-14.060100166944908,80.31399387000002,13.0
2022-01-01 01:00:00,0.0,0.0,10.637833333333333,0.30583333333333335,600,0.0,27.8,13.0,2.2,-21.881666666666668,80.31399387000002,13.0
2022-01-01 01:10:00,0.0,0.0,10.629215358931551,0.015025041736227046,599,0.0,27.8,13.0,2.2,6.889816360601002,80.31399387000002,13.0
2022-01-01 01:20:00,0.0,0.0,10.618864774624374,0.0,599,0.0,27.8,13.0,2.2,13.722871452420701,80.31399387000002,13.0
2022-01-01 01:30:00,0.0,0.0,10.6295,0.0,600,0.0,27.8,13.0,2.2,13.678333333333333,80.31399387000002,13.0
2022-01-01 01:40:00,0.18981636060100168,0.0,10.611686143572621,0.03439065108514191,599,0.0,27.8,13.0,2.2,22.881469115191987,80.31399387000002,13.0
2022-01-01 01:50:00,0.9774624373956594,0.0,10.555425709515859,0.0651085141903172,599,0.0,27.8,13.0,2.2,14.884808013355592,80.31399387000002,13.0
2022-01-01 02:00:00,1.606176961602671,0.0,10.435058430717863,0.10450751252086811,599,0.0,27.8,13.0,2.2,12.691151919866444,80.31399387000002,13.0
2022-01-01 02:10:00,1.9173622704507514,0.0,10.3220367278798,0.13388981636060102,599,0.0,27.8,13.0,2.2,7.015025041736227,80.31399387000002,13.0
2022-01-01 02:20:00,0.15466666666666667,0.0,10.250333333333334,0.0295,600,0.0,27.8,13.0,2.2,-23.118333333333332,80.31399387000002,13.0
2022-01-01 02:30:00,0.0,0.0,10.115025041736226,0.015025041736227046,599,0.0,27.8,13.0,2.2,-23.714524207011685,80.31399387000002,13.0
2022-01-01 02:40:00,0.0,0.0,9.816833333333333,0.0,600,0.0,27.8,13.0,2.2,-12.486666666666666,80.31399387000002,13.0
2022-01-01 02:50:00,1.0914858096828046,0.0,9.707846410684475,0.029549248747913186,599,0.0,27.8,13.0,2.2,-7.651085141903172,80.31399387000002,13.0
2022-01-01 03:00:00,0.0629382303839733,0.0,9.7008347245409,0.015025041736227046,599,0.0,27.8,13.0,2.2,-5.071786310517529,80.31399387000002,13.0
2022-01-01 03:10:00,0.0,0.0,9.700833333333334,0.0,600,0.0,27.8,13.0,2.2,-10.425,80.31399387000002,13.0
2022-01-01 03:20:00,0.0,0.0,9.699165275459098,0.0,599,0.0,27.8,13.0,2.2,6.696160267111853,80.31399387000002,13.0
2022-01-01 03:30:00,0.0,0.0,9.6889816360601,0.0,599,0.0,27.8,13.0,2.2,26.325542570951587,80.31399387000002,13.0
2022-01-01 03:40:00,0.0,0.0,9.665442404006678,0.0,599,0.0,27.8,13.0,2.2,28.746243739565944,80.31399387000002,13.0
2022-01-01 03:50:00,0.0,0.0,9.375833333333333,0.0,600,0.0,27.8,13.0,2.2,17.406666666666666,80.31399387000002,13.0
2022-01-01 04:00:00,0.0,0.0,8.86661101836394,0.0,599,0.0,27.8,13.0,2.2,50.30550918196995,80.31399387000002,13.0
2022-01-01 04:10:00,0.0,0.0,8.804173622704509,0.0,599,0.0,27.8,13.0,2.2,33.959933222036724,80.31399387000002,13.0
2022-01-01 04:20:00,0.0,0.0,8.8,0.015,600,0.0,27.8,13.0,2.2,27.496666666666666,80.31399387000002,13.0
2022-01-01 04:30:00,0.0,0.0,8.8,0.0,599,0.0,27.8,13.0,2.2,28.242070116861434,80.31399387000002,13.0
2022-01-01 04:40:00,0.0,0.0,8.798330550918198,0.0,599,0.0,27.8,13.0,2.2,0.3739565943238731,80.31399387000002,13.0
2022-01-01 04:50:00,0.0,0.0,8.798327759197326,0.015050167224080268,598,0.0,27.8,13.0,2.2,-7.381270903010034,80.31399387000002,13.0
2022-01-01 05:00:00,0.0,0.0,8.736287625418061,0.022073578595317726,598,0.0,27.8,13.0,2.2,-4.775919732441472,80.31399387000002,13.0
2022-01-01 05:10:00,0.0,0.0,8.515410385259631,0.007537688442211055,597,0.0,27.800000000000004,13.0,2.2,-4.1373534338358455,80.31399387000002,13.0
2022-01-01 05:20:00,0.0,0.0,8.06438127090301,0.0,598,0.0,27.8,13.0,2.2,13.198996655518394,80.31399387000002,13.0
2022-01-01 05:30:00,0.0,0.0,7.90752508361204,0.015050167224080268,598,0.0,27.8,13.0,2.2,-8.896321070234114,80.31399387000002,13.0
2022-01-01 05:40:00,0.0,0.0,7.895819397993311,0.0,598,0.0,27.8,13.0,2.2,-7.7441471571906355,80.31399387000002,13.0
2022-01-01 05:50:00,0.0,0.0,7.893979933110368,0.0,598,0.0,27.8,13.0,2.2,-5.697324414715719,80.31399387000002,13.0
2022-01-01 06:00:00,0.0,0.0,7.889130434782609,0.0,598,0.0,27.8,13.0,2.2,64.57190635451505,80.31399387000002,13.0
2022-01-01 06:10:00,0.0,0.0,7.883946488294315,0.0,598,0.0,27.8,13.0,2.2,24.448160535117058,80.31399387000002,13.0
2022-01-01 06:20:00,0.12107023411371239,0.0,7.827090301003345,0.0,598,0.0,27.8,13.0,2.2,20.07190635451505,80.31399387000002,13.0
2022-01-01 06:30:00,0.6796327212020034,0.0,7.717863105175292,0.03005008347245409,599,0.0,27.8,13.0,2.2,3.689482470784641,80.31399387000002,13.0
2022-01-01 06:40:00,0.0,0.0,7.554013377926422,0.0,598,0.0,27.8,13.0,2.2,-15.15551839464883,80.31399387000002,13.0
2022-01-01 06:50:00,0.0,0.0,7.1959798994974875,0.0,597,0.0,27.800000000000004,13.0,2.2,3.053601340033501,80.31399387000002,13.0
