Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,GeneratorTemperature_std_1h,GeneratorTemperature_roc_1h,WindSpeed_std_1h,WindSpeed_roc_1h,PowerOutput_std_1h,PowerOutput_roc_1h,RotorSpeed_std_1h,RotorSpeed_roc_1h,PitchDeg_std_1h,PitchDeg_roc_1h
2021-12-31 23:00:00,0.5348914858096828,0.0,11.570283806343905,0.03005008347245409,599,0.0,27.8,13.0,0.2373956594323873,24.684474123539232,80.31399387000002,0.03281730971116065,-0.8582637729549241,0.010624308899297042,-0.03005008347245409,0.0,0.0,0.2500254027634571,-0.5348914858096828,0.0,0.0
2021-12-31 23:10:00,0.18130217028380632,0.0,11.523873121869784,0.015025041736227046,599,0.0,27.8,13.0,0.3,19.65108514190317,80.31399387000002,0.03281730971116065,-0.8582637729549241,0.010624308899297042,-0.03005008347245409,0.0,0.0,0.2500254027634571,-0.5348914858096828,0.0,0.0
2021-12-31 23:20:00,0.0,0.0,11.470166666666668,0.0,600,0.0,27.8,13.0,0.3,2.5383333333333336,80.31399387000002,0.050102855242977154,-0.8582637729549241,0.015025041736227046,-0.03005008347245409,0.0,0.0,0.27203087526828224,-0.5348914858096828,0.0,0.0
2021-12-31 23:30:00,0.0,0.0,11.425542570951587,0.0,599,0.0,27.8,13.0,0.3,-4.971619365609349,80.31399387000002,0.06302909976494432,-0.8582637729549241,0.014385382253434128,-0.03005008347245409,0.0,0.0,0.25215474103822877,-0.5348914858096828,0.0,0.0
2021-12-31 23:40:00,0.055,0.0,11.376166666666666,0.011999999999999999,600,0.0,27.8,13.0,0.3,12.258333333333333,80.31399387000002,0.07695604256822462,-0.8582637729549241,0.012462397565872882,-0.03005008347245409,0.0,0.0,0.22530892542326184,-0.5348914858096828,0.0,0.0
2021-12-31 23:50:00,0.0,0.0,11.094490818030051,0.0030050083472454086,599,0.0,27.8,13.0,0.3,-0.4373956594323873,80.31399387000002,0.16923963980118145,-0.8582637729549241,0.01166349629994519,-0.03005008347245409,0.0,0.0,0.21113081379790805,-0.5348914858096828,0.0,0.0
2022-01-01 00:00:00,0.0,0.0,10.712020033388981,0.0,599,0.0,27.8,13.0,0.3,-6.293823038397329,80.31399387000002,0.3105078978209962,-0.8582637729549241,0.0067599009313214315,-0.03005008347245409,0.0,0.0,0.07292328069436455,-0.5348914858096828,0.0,0.0
2022-01-01 00:10:00,0.153,0.0,10.6535,0.015,600,0.0,27.8,13.0,0.3,5.905,80.31399387000002,0.3650455836138187,-0.8703731218697843,0.006752480840609176,-2.5041736227046293e-05,0.0,0.0,0.06200537611100066,-0.028302170283806327,0.0,0.0
2022-01-01 00:20:00,1.3452420701168613,0.0,10.619031719532554,0.064440734557596,599,0.0,27.8,13.0,0.3716193656093489,-1.1836393989983305,80.31399387000002,0.3680428984580174,-0.8511349471341134,0.02467375915156962,0.064440734557596,0.0,0.0,0.535540239225553,1.3452420701168613,0.0,0.0
2022-01-01 00:30:00,1.547078464106845,0.0,10.62153589315526,0.08514190317195326,599,0.0,27.8,13.0,0.4,-13.784641068447412,80.31399387000002,0.3161423431323564,-0.8040066777963268,0.03578964911068883,0.08514190317195326,0.0,0.0,0.7249226301926708,1.547078464106845,0.0,0.0
2022-01-01 00:40:00,1.6495826377295493,0.0,10.621202003338897,0.11519198664440734,599,0.0,27.8,13.0,0.4,-6.191986644407345,80.31399387000002,0.18675095311853263,-0.7549646633277689,0.04811982757241377,0.10319198664440735,0.0,0.0,0.8091939093128191,1.5945826377295493,0.0,0.0
2022-01-01 00:50:00,1.0936560934891486,0.0,10.630717863105174,0.5632721202003339,599,0.0,27.8,13.0,0.896661101836394,-14.060100166944908,80.31399387000002,0.03615302171590518,-0.46377295492487747,0.21152625914461687,0.5602671118530885,0.0,0.0,0.7154262788832542,1.0936560934891486,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,10.637833333333333,0.30583333333333335,600,0.0,27.8,13.0,2.2,-21.881666666666668,80.31399387000002,0.013274353947129352,-0.0741867000556482,0.20771031879538518,0.30583333333333335,0.0,0.0,0.7154262788832543,0.0,0.0,0.0
2022-01-01 01:10:00,0.0,0.0,10.629215358931551,0.015025041736227046,599,0.0,27.8,13.0,2.2,6.889816360601002,80.31399387000002,0.0072394255707675425,-0.024284641068447854,0.20770606368669525,2.5041736227046293e-05,0.0,0.0,0.751941463828304,-0.153,0.0,0.0
2022-01-01 01:20:00,0.0,0.0,10.618864774624374,0.0,599,0.0,27.8,13.0,2.2,13.722871452420701,80.31399387000002,0.007274517967499889,-0.00016694490818025542,0.21704520178740433,-0.064440734557596,0.0,0.0,0.80533902147401,-1.3452420701168613,0.0,0.0
2022-01-01 01:30:00,0.0,0.0,10.6295,0.0,600,0.0,27.8,13.0,2.2,13.678333333333333,80.31399387000002,0.006890563820529394,0.00796410684474047,0.22709625757776133,-0.08514190317195326,0.0,0.0,0.7297917611823703,-1.547078464106845,0.0,0.0
