Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,GeneratorTemperature_std_1h,GeneratorTemperature_roc_1h,WindSpeed_std_1h,WindSpeed_roc_1h,PowerOutput_std_1h,PowerOutput_roc_1h,RotorSpeed_std_1h,RotorSpeed_roc_1h,PitchDeg_std_1h,PitchDeg_roc_1h,StatusAnlage_rounded
2022-01-14 20:20:00,0.6767946577629382,4.091819699499165,6.992487479131887,1.7223706176961604,599,0.0,27.8,10.07846410684474,2.3,-0.0651085141903172,51.70813731049342,0.4602397521382296,0.0128547579298832,0.8104183499630269,1.551085141903172,0.0,0.0,0.9766416262582114,0.6767946577629382,5.517999238031516,13.516282534243423,10.0
2022-01-14 20:40:00,4.717696160267112,4.110183639398998,6.780133555926545,1.942237061769616,599,0.0,27.8,10.07846410684474,2.3,2.746243739565944,51.69938200368366,0.4727845608847956,0.0145242070116866,0.6821194353889143,1.897161936560935,0.0,0.0,1.8298072494799131,4.717696160267112,6.977518226506328,13.507527227433664,10.0
2022-01-14 20:50:00,2.896160267111853,4.494156928213689,6.79432387312187,1.7616026711185309,599,0.0,27.8,10.07846410684474,2.3,6.687813021702838,51.70251941980212,0.4594350170509382,0.6095158597662778,0.336304701961965,1.5919866444073456,0.0,0.0,1.7490358799376429,2.896160267111853,7.40054919454664,13.510664643552126,10.0
2022-01-14 21:30:00,6.474290484140234,4.909849749582638,6.0370617696160265,2.124540901502504,599,0.0,27.8,10.080133555926544,2.6380634390651085,16.49415692821369,51.7045448986184,0.3673092376215806,-0.9268781302170296,0.4019950435641277,0.3794657762938227,0.0,0.0,2.782540520435896,5.565108514190317,7.399892964005357,13.512690122368404,10.0
2022-01-14 22:00:00,5.189816360601001,4.532554257095159,5.44474123539232,2.0425709515859767,599,0.0,27.8,10.080133555926544,2.7,13.609348914858098,51.71077439304326,0.2649081045503323,-1.1305509181969953,0.4298176382232671,0.686644407345576,0.0,0.0,2.8931056385489757,5.189816360601001,6.979531900733037,13.518919616793262,10.0
2022-01-18 23:00:00,20.255351170568563,242.30434782608697,22.853678929765888,1.1016722408026756,598,-0.0287290969899665,27.8,10.0,2.0,24.21571906354515,14.034,0.2939412741814071,13.561525340450364,0.1571024690998782,0.2729577165956639,0.0144584765287906,-0.0287290969899665,1.585147947123845,20.255351170568563,1.3661310101652242,-66.27999387000001,10.0
2022-01-18 23:10:00,18.01361344537815,211.59495798319327,22.43798319327731,0.8794957983193277,595,-0.0491764705882352,27.8,9.912605042016809,2.0,-5.253781512605042,15.966001002554115,0.2939412741814071,13.471649859943978,0.1571024690998782,-0.431170868347339,0.0144584765287906,-0.0491764705882352,1.585147947123845,18.01361344537815,1.3661310101652242,-64.3479928674459,10.0
2022-01-19 03:10:00,24.65602006688963,295.2123745819398,12.401839464882944,1.367391304347826,598,0.1120234113712374,27.8,10.0,4.2,10.503344481605351,14.034,0.4280708903121791,-0.1909819040653033,0.7349411205612327,0.9244864629454888,0.0641399398333118,0.1120234113712374,10.62928710593046,24.65602006688963,10.225104227841612,-23.82494011392,10.0
2022-01-19 03:20:00,25.419565217391305,304.3695652173913,13.023411371237458,1.4822742474916388,598,0.1805852842809364,27.8,10.0,4.2,5.777591973244147,14.034,0.5823451840342407,0.5901893345095779,0.6844967174450791,0.8370321773747774,0.0811011777706254,0.1805852842809364,12.349302293957006,25.419565217391305,13.018398689829649,-23.82494011392,10.0
2022-01-19 03:30:00,21.406844741235396,256.31051752921536,13.320200333889815,1.282971619365609,599,0.0047078464106844,27.8,10.0,4.2,24.18864774624374,14.034,0.765200333593653,0.9460767946577632,0.4960961862304604,0.9227045075125208,0.0802928701733499,0.0047078464106844,11.627388599206736,21.406844741235396,14.020085627259936,-23.82494011392,10.0
